mk123,
Wavelength (nm),Abs
1350,2.37270546
1349,2.359890938
1348,2.342423916
1347,2.326449871
1346,2.309433699
1345,2.292422533
1344,2.273309469
1343,2.257926226
1342,2.239277124
1341,2.222166061
1340,2.202602148
1339,2.185286522
1338,2.166422844
1337,2.148474455
1336,2.129799604
1335,2.109557152
1334,2.090847969
1333,2.074043751
1332,2.055067778
1331,2.035562754
1330,2.018642664
1329,2.001031876
1328,1.980520606
1327,1.96481216
1326,1.947816849
1325,1.931396961
1324,1.915492296
1323,1.899413705
1322,1.883251071
1321,1.868681312
1320,1.853852987
1319,1.840734363
1318,1.827651024
1317,1.815032125
1316,1.801641703
1315,1.790032744
1314,1.778742313
1313,1.768383741
1312,1.75814712
1311,1.749067545
1310,1.739661336
1309,1.731722713
1308,1.724334478
1307,1.717016697
1306,1.710667491
1305,1.704903007
1304,1.698103189
1303,1.693630457
1302,1.689047575
1301,1.685377955
1300,1.682411671
1299,1.679477453
1298,1.676892519
1297,1.675031424
1296,1.673729062
1295,1.673911929
1294,1.673216701
1293,1.673245788
1292,1.674358964
1291,1.67523396
1290,1.676743865
1289,1.679597855
1288,1.682280898
1287,1.684717059
1286,1.687906981
1285,1.692416549
1284,1.69703722
1283,1.701110125
1282,1.706663966
1281,1.71214366
1280,1.717483878
1279,1.723070264
1278,1.729358435
1277,1.735040665
1276,1.739922523
1275,1.744918823
1274,1.748219371
1273,1.751382232
1272,1.754648328
1271,1.756926417
1270,1.757890582
1269,1.759411693
1268,1.760446429
1267,1.759862185
1266,1.760079026
1265,1.761228442
1264,1.760347247
1263,1.760959148
1262,1.761183739
1261,1.760910869
1260,1.760392547
1259,1.760678411
1258,1.759093523
1257,1.756739616
1256,1.754834771
1255,1.752232552
1254,1.748057842
1253,1.74290967
1252,1.737668037
1251,1.732371449
1250,1.725655437
1249,1.718962193
1248,1.712080717
1247,1.704801679
1246,1.697373509
1245,1.690551162
1244,1.683936238
1243,1.678085685
1242,1.672256708
1241,1.666602254
1240,1.661534548
1239,1.656637192
1238,1.652927041
1237,1.649198651
1236,1.645555615
1235,1.642570257
1234,1.640644312
1233,1.638438225
1232,1.637064695
1231,1.636219501
1230,1.635320783
1229,1.63470149
1228,1.634511948
1227,1.634736896
1226,1.634930015
1225,1.636342406
1224,1.637067914
1223,1.638445854
1222,1.639856219
1221,1.641948104
1220,1.643786192
1219,1.646008372
1218,1.648881197
1217,1.650993824
1216,1.65350759
1215,1.656640887
1214,1.660238266
1213,1.663053155
1212,1.666081786
1211,1.669764757
1210,1.673348188
1209,1.676797867
1208,1.680797935
1207,1.684507966
1206,1.688603878
1205,1.693044901
1204,1.697820544
1203,1.701978207
1202,1.707116485
1201,1.712696552
1200,1.718298316
1199,1.720033765
1198,1.726160884
1197,1.731746674
1196,1.738784909
1195,1.74600637
1194,1.752378106
1193,1.759325624
1192,1.767148376
1191,1.773555875
1190,1.779800177
1189,1.78697741
1188,1.792770505
1187,1.797644854
1186,1.802003384
1185,1.806133628
1184,1.809949517
1183,1.812345028
1182,1.814653039
1181,1.816222787
1180,1.817797661
1179,1.818657398
1178,1.818355203
1177,1.818638682
1176,1.816624284
1175,1.815752864
1174,1.813403368
1173,1.811236382
1172,1.808088779
1171,1.803738594
1170,1.800400734
1169,1.795115471
1168,1.791378975
1167,1.786758661
1166,1.782844305
1165,1.77832818
1164,1.77526319
1163,1.772479773
1162,1.770851612
1161,1.770518661
1160,1.769839525
1159,1.771000624
1158,1.77271533
1157,1.776708484
1156,1.780302167
1155,1.784757376
1154,1.791816592
1153,1.798246861
1152,1.805485487
1151,1.813418269
1150,1.820098639
1149,1.826449633
1148,1.832232237
1147,1.837299585
1146,1.840791345
1145,1.844881773
1144,1.848567963
1143,1.853044271
1142,1.856425643
1141,1.863642931
1140,1.87029314
1139,1.880050182
1138,1.892063022
1137,1.906591535
1136,1.919311404
1135,1.934141517
1134,1.949544311
1133,1.965352297
1132,1.980236053
1131,1.994371653
1130,2.00391674
1129,2.015293837
1128,2.026305676
1127,2.036297321
