doc,,mk123,,doc,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1350,1.952913523,1350,2.37270546,1350,1.952913523,
1349,1.935763955,1349,2.359890938,1349,1.935763955,
1348,1.917525887,1348,2.342423916,1348,1.917525887,
1347,1.899173498,1347,2.326449871,1347,1.899173498,
1346,1.881398082,1346,2.309433699,1346,1.881398082,
1345,1.862640023,1345,2.292422533,1345,1.862640023,
1344,1.843360662,1344,2.273309469,1344,1.843360662,
1343,1.824237466,1343,2.257926226,1343,1.824237466,
1342,1.80401361,1342,2.239277124,1342,1.80401361,
1341,1.783584476,1341,2.222166061,1341,1.783584476,
1340,1.763813496,1340,2.202602148,1340,1.763813496,
1339,1.743740797,1339,2.185286522,1339,1.743740797,
1338,1.723860502,1338,2.166422844,1338,1.723860502,
1337,1.703257322,1337,2.148474455,1337,1.703257322,
1336,1.683274388,1336,2.129799604,1336,1.683274388,
1335,1.661920786,1335,2.109557152,1335,1.661920786,
1334,1.64066875,1334,2.090847969,1334,1.64066875,
1333,1.622007847,1333,2.074043751,1333,1.622007847,
1332,1.601719022,1332,2.055067778,1332,1.601719022,
1331,1.581556797,1331,2.035562754,1331,1.581556797,
1330,1.563141465,1330,2.018642664,1330,1.563141465,
1329,1.54281354,1329,2.001031876,1329,1.54281354,
1328,1.523373961,1328,1.980520606,1328,1.523373961,
1327,1.505629063,1327,1.96481216,1327,1.505629063,
1326,1.487380266,1326,1.947816849,1326,1.487380266,
1325,1.469661832,1325,1.931396961,1325,1.469661832,
1324,1.452798128,1324,1.915492296,1324,1.452798128,
1323,1.435052514,1323,1.899413705,1323,1.435052514,
1322,1.417835116,1322,1.883251071,1322,1.417835116,
1321,1.402070761,1321,1.868681312,1321,1.402070761,
1320,1.386818647,1320,1.853852987,1320,1.386818647,
1319,1.371847034,1319,1.840734363,1319,1.371847034,
1318,1.357208014,1318,1.827651024,1318,1.357208014,
1317,1.343252897,1317,1.815032125,1317,1.343252897,
1316,1.329229593,1316,1.801641703,1316,1.329229593,
1315,1.3156358,1315,1.790032744,1315,1.3156358,
1314,1.30294776,1314,1.778742313,1314,1.30294776,
1313,1.291231871,1313,1.768383741,1313,1.291231871,
1312,1.279027939,1312,1.75814712,1312,1.279027939,
1311,1.268227696,1311,1.749067545,1311,1.268227696,
1310,1.256997943,1310,1.739661336,1310,1.256997943,
1309,1.246086478,1309,1.731722713,1309,1.246086478,
1308,1.236453295,1308,1.724334478,1308,1.236453295,
1307,1.22689724,1307,1.717016697,1307,1.22689724,
1306,1.217885494,1306,1.710667491,1306,1.217885494,
1305,1.208814144,1305,1.704903007,1305,1.208814144,
1304,1.200160384,1304,1.698103189,1304,1.200160384,
1303,1.191611409,1303,1.693630457,1303,1.191611409,
1302,1.183761477,1302,1.689047575,1302,1.183761477,
1301,1.176237226,1301,1.685377955,1301,1.176237226,
1300,1.169027448,1300,1.682411671,1300,1.169027448,
1299,1.161951303,1299,1.679477453,1299,1.161951303,
1298,1.155306101,1298,1.676892519,1298,1.155306101,
1297,1.148784161,1297,1.675031424,1297,1.148784161,
1296,1.142552257,1296,1.673729062,1296,1.142552257,
1295,1.136586189,1295,1.673911929,1295,1.136586189,
1294,1.131066799,1294,1.673216701,1294,1.131066799,
1293,1.125607729,1293,1.673245788,1293,1.125607729,
1292,1.120611548,1292,1.674358964,1292,1.120611548,
1291,1.115560651,1291,1.67523396,1291,1.115560651,
1290,1.110854506,1290,1.676743865,1290,1.110854506,
1289,1.106511474,1289,1.679597855,1289,1.106511474,
1288,1.102474809,1288,1.682280898,1288,1.102474809,
1287,1.098507047,1287,1.684717059,1287,1.098507047,
1286,1.094767451,1286,1.687906981,1286,1.094767451,
1285,1.091245174,1285,1.692416549,1285,1.091245174,
1284,1.087761521,1284,1.69703722,1284,1.087761521,
1283,1.084664583,1283,1.701110125,1283,1.084664583,
1282,1.081714153,1282,1.706663966,1282,1.081714153,
1281,1.078986645,1281,1.71214366,1281,1.078986645,
1280,1.076582551,1280,1.717483878,1280,1.076582551,
1279,1.074219346,1279,1.723070264,1279,1.074219346,
1278,1.072015285,1278,1.729358435,1278,1.072015285,
1277,1.070137143,1277,1.735040665,1277,1.070137143,
1276,1.068196177,1276,1.739922523,1276,1.068196177,
